term	category	common_asr_errors	note
缩量	交易术语	索量|锁量	纯同音误写，自动纠正
放量	交易术语	放亮|方量	纯同音误写，自动纠正
换手率	交易术语	换手律	率误作律，自动纠正
回踩	交易术语	回采	纯同音误写；矿业语境除外
破位	交易术语	破为	纯同音误写，自动纠正
均线	交易术语	军线|均现	纯同音误写，自动纠正
金叉	交易术语	金差	纯同音误写，自动纠正
死叉	交易术语	死差	纯同音误写，自动纠正
套牢	交易术语	套劳	纯同音误写，自动纠正
踏空	交易术语	他空|踏控	纯同音误写，自动纠正
止盈	交易术语	止赢|指盈	止赢为常见混写，规范为止盈
止损	交易术语	指损	近音误写，自动纠正
打板	交易术语	大板|打扳	纯同音误写，自动纠正
翘板	交易术语	撬板	近音误写，自动纠正
封板	交易术语	风板	纯同音误写，自动纠正
炸板	交易术语	扎板	纯同音误写，自动纠正
龙虎榜	交易术语		ASR 较少误写，不留空误写避免误判
北向资金	交易术语		ASR 较少误写；北上资金是合法别称，不强制改写
融资融券	交易术语	融资融卷	券误作卷，自动纠正
盘口	交易术语	盘扣	纯同音误写，自动纠正
集合竞价	交易术语	集合竟价	竞误作竟，自动纠正
分时	交易术语	分式	[report_only] 分式本身是数学常用词，歧义大，只报告
K线	交易术语	K 线|k线|开线	写法规范为 K线
缺口	交易术语	缺扣	纯同音误写，自动纠正
背离	交易术语	背理	近音误写，自动纠正
洗盘	交易术语	洗版	[report_only] 洗版是网络常用词（刷屏），歧义大，只报告
出货	交易术语	初货	纯同音误写，自动纠正
吸筹	交易术语	西筹	纯同音误写，自动纠正
拉升	交易术语	拉声	纯同音误写，自动纠正
砸盘	交易术语	杂盘	纯同音误写，自动纠正
阴跌	交易术语	阴迭|音跌	纯同音误写，自动纠正
反弹	交易术语	反谈	纯同音误写，自动纠正
反转	交易术语	反传	纯同音误写，自动纠正
右侧	交易术语	右测	近音误写，自动纠正
左侧	交易术语	左测	近音误写，自动纠正
SaaS	科技行业术语	萨斯|Saas	规范拼写 SaaS；萨斯仅在非典语境合法，会议中罕见
MaaS	科技行业术语	麻死|Maas	规范拼写 MaaS；不收 马斯，避免误伤 马斯克
PaaS	科技行业术语	帕斯|Paas	规范拼写 PaaS
IaaS	科技行业术语	IaS|iaas	规范拼写 IaaS
AIGC	科技行业术语	AIG C	字母间误插空格
AGI	科技行业术语	AG I	字母间误插空格；不收 阿吉，避免误伤人名
LLM	科技行业术语	LL M	字母间误插空格
Token	科技行业术语	托肯|掏肯	纯音译误写；小写 token 是合法英文拼写，不强制改写
Agent	科技行业术语		ASR 较少误写，不留空误写避免误判
RAG	科技行业术语	R A G	字母间误插空格；不收 拉格，避免误伤 拉格朗日
GPU	科技行业术语	GP U|G P U	字母间误插空格
HBM	科技行业术语	HB M	字母间误插空格
算力	科技行业术语	算例|算立|算利	纯同音误写，自动纠正
算力	科技行业术语	双利	[report_only] "双利"本身是合法用词（双利债券基金等），仅在"双利租赁"等语境疑似"算力租赁"，只报告交人工确认
推理	科技行业术语	推进	[report_only] 推进本身是日常高频词，歧义大，只报告
训练	科技行业术语	训炼	[report_only] 训练是日常高频词，误写匹配保守处理，只报告
微调	科技行业术语	微条|维调	纯同音误写，自动纠正
蒸馏	科技行业术语	蒸溜	馏误作溜，自动纠正
多模态	科技行业术语	多模太|多摩态	纯同音误写，自动纠正
具身智能	科技行业术语	具声智能|居身智能	纯同音误写，自动纠正
端侧	科技行业术语	短侧|端策	纯同音误写，自动纠正
云厂商	科技行业术语	云场商	纯同音误写，自动纠正
IDC	科技行业术语	ID C	字母间误插空格
光模块	科技行业术语	光模快	块误作快，自动纠正
PCB	科技行业术语	PC B|P C B	字母间误插空格
存储	科技行业术语	储存	[report_only] 储存本身是合法常用词，歧义大，只报告
先进封装	科技行业术语	先进风装	纯同音误写，自动纠正
EDA	科技行业术语	ED A	字母间误插空格
信创	科技行业术语	新创	[report_only] 新创本身是常用词（新创企业），歧义大，只报告
数据要素	科技行业术语	数据要速	素误作速，自动纠正
加仓	通用投资术语	家仓|加苍	纯同音误写，自动纠正
减仓	通用投资术语	检仓|减苍	纯同音误写，自动纠正
仓位	通用投资术语	苍位	纯同音误写，自动纠正
重仓	通用投资术语	众仓|重苍	纯同音误写，自动纠正
清仓	通用投资术语	清苍	纯同音误写，自动纠正
建仓	通用投资术语	见仓|建苍	纯同音误写，自动纠正
PE	通用投资术语	P E	字母间误插空格
PB	通用投资术语	P B	字母间误插空格
PS	通用投资术语	P S	字母间误插空格
ROE	通用投资术语	R O E	字母间误插空格
EPS	通用投资术语	E P S	字母间误插空格
DCF	通用投资术语	D C F	字母间误插空格
Capex	通用投资术语	capex|CapEx	规范拼写 Capex
Opex	通用投资术语	opex|OpEx	规范拼写 Opex
毛利率	通用投资术语	毛利律	率误作律，自动纠正
净利率	通用投资术语	净利律	率误作律，自动纠正
市占率	通用投资术语	市占律|市展率	率误作律，自动纠正
渗透率	通用投资术语	渗透律	率误作律，自动纠正
国产化率	通用投资术语	国产化律	率误作律，自动纠正
订单能见度	通用投资术语	订单能建度	见误作建，自动纠正
业绩兑现	通用投资术语	业绩对现	纯同音误写，自动纠正
估值切换	通用投资术语	估值切坏	纯同音误写，自动纠正
戴维斯双击	通用投资术语	戴维斯双机	击误作机，自动纠正
alpha	通用投资术语	阿尔法	[report_only] 阿尔法是合法音译拼写，只报告
beta	通用投资术语	贝塔	[report_only] 贝塔是合法音译拼写，只报告
